fiscal_year,SOAL,_FREQ_
1213,,453202
1213,E01000001,2410
1213,E01000002,2370
1213,E01000003,3296
1213,E01000004,2751
1213,E01000005,2204
1213,E01000006,2740
1213,E01000007,1949
1213,E01000008,2370
1213,E01000009,3164
1213,E01000010,4405
1213,E01000011,2879
1213,E01000012,3128
1213,E01000013,3485
1213,E01000014,2811
1213,E01000015,4091
1213,E01000016,3265
1213,E01000017,3384
1213,E01000018,3195
1213,E01000019,2534
1213,E01000020,3270
1213,E01000021,2853
1213,E01000022,2549
1213,E01000023,3309
1213,E01000024,2621
1213,E01000025,2987
1213,E01000026,2844
1213,E01000027,3181
1213,E01000028,3049
1213,E01000029,3633
1213,E01000030,3525
1213,E01000031,3251
1213,E01000032,3679
1213,E01000033,2530
1213,E01000034,2703
1213,E01000035,2913
1213,E01000036,2396
1213,E01000037,2671
1213,E01000038,2853
1213,E01000039,3114
1213,E01000040,3292
1213,E01000041,2983
1213,E01000042,3252
1213,E01000043,2487
1213,E01000044,3423
1213,E01000045,2942
1213,E01000046,3043
1213,E01000047,5880
1213,E01000048,2460
1213,E01000049,3220
1213,E01000050,3237
1213,E01000051,2813
1213,E01000052,3705
1213,E01000053,2923
1213,E01000054,3298
1213,E01000055,3108
1213,E01000056,3020
1213,E01000057,2719
1213,E01000058,3360
1213,E01000059,3026
1213,E01000060,3217
1213,E01000061,2982
1213,E01000062,3458
1213,E01000063,2909
1213,E01000064,4231
1213,E01000065,3588
1213,E01000066,3701
1213,E01000067,4070
1213,E01000068,3243
1213,E01000069,3575
1213,E01000070,3572
1213,E01000071,4305
1213,E01000072,3971
1213,E01000073,3089
1213,E01000074,3149
1213,E01000075,3092
1213,E01000076,3598
1213,E01000077,3493
1213,E01000078,3128
1213,E01000079,2988
1213,E01000080,2891
1213,E01000081,3059
1213,E01000082,3017
1213,E01000083,3090
1213,E01000084,2860
1213,E01000085,2690
1213,E01000086,2909
1213,E01000087,2430
1213,E01000088,3047
1213,E01000089,2715
1213,E01000090,2515
1213,E01000091,3074
1213,E01000092,4917
1213,E01000093,2961
1213,E01000094,1870
1213,E01000095,2820
1213,E01000096,2377
1213,E01000097,3454
1213,E01000098,3504
1213,E01000099,3823
1213,E01000100,2686
1213,E01000101,3524
1213,E01000102,3463
1213,E01000103,3156
1213,E01000104,2871
1213,E01000105,4305
1213,E01000106,3531
1213,E01000107,2833
1213,E01000108,2727
1213,E01000109,2831
1213,E01000110,2779
1213,E01000111,3911
1213,E01000112,3550
1213,E01000113,3328
1213,E01000114,3687
1213,E01000115,2961
1213,E01000116,3735
1213,E01000117,4607
1213,E01000118,4024
1213,E01000119,3674
1213,E01000120,3287
1213,E01000121,3619
1213,E01000122,3244
1213,E01000123,3649
1213,E01000124,3198
1213,E01000125,5516
1213,E01000126,4717
1213,E01000127,3456
1213,E01000128,3637
1213,E01000129,3460
1213,E01000130,3634
1213,E01000131,3824
1213,E01000132,2959
1213,E01000133,3929
1213,E01000134,3511
1213,E01000135,3412
1213,E01000136,2358
1213,E01000137,4605
1213,E01000138,4269
1213,E01000139,2861
1213,E01000140,3130
1213,E01000141,4163
1213,E01000142,5159
1213,E01000143,3400
1213,E01000144,3095
1213,E01000145,3386
1213,E01000146,3311
1213,E01000147,3981
1213,E01000148,4275
1213,E01000149,6435
1213,E01000150,4709
1213,E01000151,3081
1213,E01000152,3432
1213,E01000153,4427
1213,E01000154,2955
1213,E01000155,3402
1213,E01000156,3780
1213,E01000157,2925
1213,E01000158,2857
1213,E01000159,3961
1213,E01000160,3420
1213,E01000161,3155
1213,E01000162,4147
1213,E01000163,3863
1213,E01000164,3601
1213,E01000165,3217
1213,E01000166,3843
1213,E01000167,3505
1213,E01000168,4160
1213,E01000169,3035
1213,E01000170,3679
1213,E01000171,3655
1213,E01000172,3325
1213,E01000173,3642
1213,E01000174,3884
1213,E01000175,3839
1213,E01000176,4859
1213,E01000177,3650
1213,E01000178,3801
1213,E01000179,3020
1213,E01000180,3702
1213,E01000181,3393
1213,E01000182,3731
1213,E01000183,3765
1213,E01000184,3740
1213,E01000185,3045
1213,E01000186,3252
1213,E01000187,4704
1213,E01000188,3324
1213,E01000189,3655
1213,E01000190,3481
1213,E01000191,3889
1213,E01000192,4551
1213,E01000193,3735
1213,E01000194,3441
1213,E01000195,4382
1213,E01000196,3968
1213,E01000197,3568
1213,E01000198,3659
1213,E01000199,3841
1213,E01000200,4192
1213,E01000201,3043
1213,E01000202,3585
1213,E01000203,3434
1213,E01000204,3250
1213,E01000205,2959
1213,E01000206,1869
1213,E01000207,2452
1213,E01000208,2829
1213,E01000209,3606
1213,E01000210,2725
1213,E01000211,4070
1213,E01000212,2415
1213,E01000213,1640
1213,E01000214,2964
1213,E01000215,4943
1213,E01000216,3878
1213,E01000217,3221
1213,E01000218,3222
1213,E01000219,3739
1213,E01000220,4600
1213,E01000221,3517
1213,E01000222,4348
1213,E01000223,3798
1213,E01000224,4767
1213,E01000225,3885
1213,E01000226,4062
1213,E01000227,4373
1213,E01000228,2907
1213,E01000229,3818
1213,E01000230,4640
1213,E01000231,4190
1213,E01000232,4624
1213,E01000233,3761
1213,E01000234,3716
1213,E01000235,3964
1213,E01000236,3872
1213,E01000237,3364
1213,E01000238,3772
1213,E01000239,4111
1213,E01000240,3818
1213,E01000241,3634
1213,E01000242,3890
1213,E01000243,4415
1213,E01000244,3452
1213,E01000245,4734
1213,E01000246,3492
1213,E01000247,3275
1213,E01000248,3599
1213,E01000249,3564
1213,E01000250,5046
1213,E01000251,4994
1213,E01000252,3559
1213,E01000253,3265
1213,E01000254,3403
1213,E01000255,3596
1213,E01000256,3860
1213,E01000257,4242
1213,E01000258,4105
1213,E01000259,5265
1213,E01000260,4248
1213,E01000261,3441
1213,E01000262,4705
1213,E01000263,2860
1213,E01000264,3424
1213,E01000265,4385
1213,E01000266,3716
1213,E01000267,3530
1213,E01000268,3490
1213,E01000269,3383
1213,E01000270,3063
1213,E01000271,3689
1213,E01000272,2735
1213,E01000273,4182
1213,E01000274,4444
1213,E01000275,4039
1213,E01000276,2734
1213,E01000277,3525
1213,E01000278,3139
1213,E01000279,2434
1213,E01000280,2925
1213,E01000281,3217
1213,E01000282,3969
1213,E01000283,3034
1213,E01000284,4418
1213,E01000285,3550
1213,E01000286,4453
1213,E01000287,4264
1213,E01000288,3349
1213,E01000289,4067
1213,E01000290,4498
1213,E01000291,3629
1213,E01000292,3823
1213,E01000293,3512
1213,E01000294,4284
1213,E01000295,3691
1213,E01000296,3680
1213,E01000297,2902
1213,E01000298,3920
1213,E01000299,3643
1213,E01000300,3793
1213,E01000301,3440
1213,E01000302,3706
1213,E01000303,3567
1213,E01000304,2858
1213,E01000305,4200
1213,E01000306,3784
1213,E01000307,3995
1213,E01000308,4323
1213,E01000309,3999
1213,E01000310,4668
1213,E01000311,3140
1213,E01000312,3297
1213,E01000313,4268
1213,E01000314,3992
1213,E01000315,4485
1213,E01000316,4706
1213,E01000317,3443
1213,E01000318,4024
1213,E01000319,2997
1213,E01000320,3803
1213,E01000321,3631
1213,E01000322,4015
1213,E01000323,4953
1213,E01000324,4161
1213,E01000325,3014
1213,E01000326,2316
1213,E01000327,2718
1213,E01000328,2840
1213,E01000329,2456
1213,E01000330,3042
1213,E01000331,3320
1213,E01000332,2991
1213,E01000333,3277
1213,E01000334,3271
1213,E01000335,2985
1213,E01000336,2918
1213,E01000337,2540
1213,E01000338,2580
1213,E01000339,3001
1213,E01000340,3029
1213,E01000341,3012
1213,E01000342,2671
1213,E01000343,2617
1213,E01000344,3125
1213,E01000345,2379
1213,E01000346,2661
1213,E01000347,2579
1213,E01000348,2536
1213,E01000349,3096
1213,E01000350,2321
1213,E01000351,2624
1213,E01000352,2746
1213,E01000353,3060
1213,E01000354,3116
1213,E01000355,2832
1213,E01000356,3097
1213,E01000357,2478
1213,E01000358,2988
1213,E01000359,2236
1213,E01000360,2466
1213,E01000361,2315
1213,E01000362,3057
1213,E01000363,2710
1213,E01000364,3196
1213,E01000365,2947
1213,E01000366,2604
1213,E01000367,2571
1213,E01000368,2720
1213,E01000369,3011
1213,E01000370,2944
1213,E01000371,2826
1213,E01000372,3194
1213,E01000373,1459
1213,E01000374,2926
1213,E01000375,3035
1213,E01000376,2825
1213,E01000377,2737
1213,E01000378,4189
1213,E01000379,2881
1213,E01000380,2904
1213,E01000381,3196
1213,E01000382,3110
1213,E01000383,3243
1213,E01000384,3129
1213,E01000385,3154
1213,E01000386,3062
1213,E01000387,3022
1213,E01000388,3257
1213,E01000389,3019
1213,E01000390,2384
