fiscal_year,SOAL,_FREQ_
1314,,299418
1314,E01000001,1652
1314,E01000002,1608
1314,E01000003,1909
1314,E01000004,1635
1314,E01000005,1491
1314,E01000006,1789
1314,E01000007,1387
1314,E01000008,1541
1314,E01000009,2047
1314,E01000010,3051
1314,E01000011,1721
1314,E01000012,1842
1314,E01000013,2012
1314,E01000014,1910
1314,E01000015,2550
1314,E01000016,1921
1314,E01000017,2168
1314,E01000018,2192
1314,E01000019,1679
1314,E01000020,1922
1314,E01000021,1697
1314,E01000022,1607
1314,E01000023,2109
1314,E01000024,1630
1314,E01000025,2122
1314,E01000026,1783
1314,E01000027,2079
1314,E01000028,1864
1314,E01000029,2294
1314,E01000030,2236
1314,E01000031,1947
1314,E01000032,2169
1314,E01000033,1884
1314,E01000034,1816
1314,E01000035,1971
1314,E01000036,1583
1314,E01000037,1852
1314,E01000038,1823
1314,E01000039,2077
1314,E01000040,2088
1314,E01000041,1851
1314,E01000042,2031
1314,E01000043,1537
1314,E01000044,1870
1314,E01000045,1767
1314,E01000046,1775
1314,E01000047,3718
1314,E01000048,1602
1314,E01000049,1971
1314,E01000050,1916
1314,E01000051,1565
1314,E01000052,2330
1314,E01000053,1945
1314,E01000054,2116
1314,E01000055,1835
1314,E01000056,1869
1314,E01000057,1906
1314,E01000058,1910
1314,E01000059,1745
1314,E01000060,1832
1314,E01000061,1517
1314,E01000062,2206
1314,E01000063,1862
1314,E01000064,2750
1314,E01000065,2262
1314,E01000066,2254
1314,E01000067,2316
1314,E01000068,2122
1314,E01000069,2126
1314,E01000070,2233
1314,E01000071,2609
1314,E01000072,2232
1314,E01000073,1865
1314,E01000074,1910
1314,E01000075,2043
1314,E01000076,2049
1314,E01000077,2281
1314,E01000078,1979
1314,E01000079,1798
1314,E01000080,1740
1314,E01000081,1922
1314,E01000082,1969
1314,E01000083,1991
1314,E01000084,1756
1314,E01000085,1688
1314,E01000086,1798
1314,E01000087,1510
1314,E01000088,1955
1314,E01000089,1839
1314,E01000090,1612
1314,E01000091,1887
1314,E01000092,3591
1314,E01000093,1892
1314,E01000094,1230
1314,E01000095,1713
1314,E01000096,1260
1314,E01000097,2205
1314,E01000098,2561
1314,E01000099,2402
1314,E01000100,1807
1314,E01000101,2220
1314,E01000102,2245
1314,E01000103,1612
1314,E01000104,1667
1314,E01000105,2685
1314,E01000106,2174
1314,E01000107,1992
1314,E01000108,1730
1314,E01000109,1797
1314,E01000110,1710
1314,E01000111,2395
1314,E01000112,2348
1314,E01000113,2176
1314,E01000114,2157
1314,E01000115,1838
1314,E01000116,2313
1314,E01000117,2898
1314,E01000118,2779
1314,E01000119,2397
1314,E01000120,2224
1314,E01000121,2364
1314,E01000122,2185
1314,E01000123,2326
1314,E01000124,2104
1314,E01000125,3590
1314,E01000126,2924
1314,E01000127,1876
1314,E01000128,2433
1314,E01000129,2065
1314,E01000130,2315
1314,E01000131,2223
1314,E01000132,1777
1314,E01000133,2371
1314,E01000134,2020
1314,E01000135,2100
1314,E01000136,1513
1314,E01000137,2989
1314,E01000138,2976
1314,E01000139,1668
1314,E01000140,1980
1314,E01000141,2645
1314,E01000142,3374
1314,E01000143,2574
1314,E01000144,2029
1314,E01000145,2257
1314,E01000146,2299
1314,E01000147,2603
1314,E01000148,2633
1314,E01000149,4064
1314,E01000150,2815
1314,E01000151,2046
1314,E01000152,1959
1314,E01000153,2788
1314,E01000154,1788
1314,E01000155,2511
1314,E01000156,2108
1314,E01000157,1540
1314,E01000158,1954
1314,E01000159,2372
1314,E01000160,2149
1314,E01000161,2007
1314,E01000162,2612
1314,E01000163,1895
1314,E01000164,1964
1314,E01000165,2094
1314,E01000166,2268
1314,E01000167,2305
1314,E01000168,2227
1314,E01000169,1888
1314,E01000170,2459
1314,E01000171,2209
1314,E01000172,2073
1314,E01000173,2359
1314,E01000174,2213
1314,E01000175,2437
1314,E01000176,2935
1314,E01000177,2176
1314,E01000178,2425
1314,E01000179,1862
1314,E01000180,2282
1314,E01000181,2161
1314,E01000182,2250
1314,E01000183,2220
1314,E01000184,2131
1314,E01000185,1790
1314,E01000186,2053
1314,E01000187,2759
1314,E01000188,2131
1314,E01000189,1899
1314,E01000190,1937
1314,E01000191,2561
1314,E01000192,2851
1314,E01000193,2412
1314,E01000194,2250
1314,E01000195,2781
1314,E01000196,2410
1314,E01000197,2288
1314,E01000198,2603
1314,E01000199,2423
1314,E01000200,2643
1314,E01000201,1756
1314,E01000202,2094
1314,E01000203,2285
1314,E01000204,2079
1314,E01000205,2011
1314,E01000206,1295
1314,E01000207,1606
1314,E01000208,1813
1314,E01000209,2458
1314,E01000210,1759
1314,E01000211,2864
1314,E01000212,1577
1314,E01000213,1057
1314,E01000214,1829
1314,E01000215,3440
1314,E01000216,2493
1314,E01000217,2311
1314,E01000218,2326
1314,E01000219,2501
1314,E01000220,2931
1314,E01000221,2233
1314,E01000222,2867
1314,E01000223,2296
1314,E01000224,3167
1314,E01000225,2855
1314,E01000226,2615
1314,E01000227,2653
1314,E01000228,1669
1314,E01000229,2436
1314,E01000230,2705
1314,E01000231,2584
1314,E01000232,2973
1314,E01000233,2413
1314,E01000234,2338
1314,E01000235,2447
1314,E01000236,2575
1314,E01000237,2243
1314,E01000238,2720
1314,E01000239,2618
1314,E01000240,2473
1314,E01000241,2267
1314,E01000242,2505
1314,E01000243,2699
1314,E01000244,2055
1314,E01000245,2902
1314,E01000246,2204
1314,E01000247,2169
1314,E01000248,2299
1314,E01000249,2076
1314,E01000250,3303
1314,E01000251,2821
1314,E01000252,2154
1314,E01000253,2220
1314,E01000254,2102
1314,E01000255,2193
1314,E01000256,2268
1314,E01000257,2696
1314,E01000258,2406
1314,E01000259,3463
1314,E01000260,2592
1314,E01000261,2119
1314,E01000262,2795
1314,E01000263,1812
1314,E01000264,2137
1314,E01000265,2718
1314,E01000266,2255
1314,E01000267,2048
1314,E01000268,2112
1314,E01000269,2185
1314,E01000270,1834
1314,E01000271,2277
1314,E01000272,1689
1314,E01000273,2764
1314,E01000274,2616
1314,E01000275,2442
1314,E01000276,1748
1314,E01000277,2255
1314,E01000278,1903
1314,E01000279,1368
1314,E01000280,1803
1314,E01000281,2082
1314,E01000282,2696
1314,E01000283,1880
1314,E01000284,2553
1314,E01000285,2187
1314,E01000286,2542
1314,E01000287,2457
1314,E01000288,2346
1314,E01000289,2346
1314,E01000290,2796
1314,E01000291,2114
1314,E01000292,2147
1314,E01000293,2214
1314,E01000294,2770
1314,E01000295,2125
1314,E01000296,2590
1314,E01000297,1898
1314,E01000298,2519
1314,E01000299,2281
1314,E01000300,2394
1314,E01000301,2052
1314,E01000302,2291
1314,E01000303,2199
1314,E01000304,1897
1314,E01000305,2611
1314,E01000306,2514
1314,E01000307,2700
1314,E01000308,3072
1314,E01000309,2657
1314,E01000310,3220
1314,E01000311,2259
1314,E01000312,2275
1314,E01000313,2820
1314,E01000314,2804
1314,E01000315,2990
1314,E01000316,2860
1314,E01000317,2217
1314,E01000318,2465
1314,E01000319,1870
1314,E01000320,2257
1314,E01000321,2401
1314,E01000322,2452
1314,E01000323,2907
1314,E01000324,2460
1314,E01000325,1722
1314,E01000326,1239
1314,E01000327,1540
1314,E01000328,1771
1314,E01000329,1338
1314,E01000330,1772
1314,E01000331,1940
1314,E01000332,1888
1314,E01000333,1941
1314,E01000334,2063
1314,E01000335,1956
1314,E01000336,1881
1314,E01000337,1798
1314,E01000338,1563
1314,E01000339,2095
1314,E01000340,1829
1314,E01000341,1906
1314,E01000342,1623
1314,E01000343,1469
1314,E01000344,2029
1314,E01000345,1436
1314,E01000346,1615
1314,E01000347,1573
1314,E01000348,1596
1314,E01000349,1867
1314,E01000350,1362
1314,E01000351,1758
1314,E01000352,1617
1314,E01000353,1876
1314,E01000354,1678
1314,E01000355,1752
1314,E01000356,1908
1314,E01000357,1445
1314,E01000358,1792
1314,E01000359,1418
1314,E01000360,1463
1314,E01000361,1479
1314,E01000362,1866
1314,E01000363,1623
1314,E01000364,1774
1314,E01000365,1662
1314,E01000366,1566
1314,E01000367,1470
1314,E01000368,1732
1314,E01000369,1844
1314,E01000370,1937
1314,E01000371,1898
1314,E01000372,1982
1314,E01000373,767
1314,E01000374,1768
1314,E01000375,1791
1314,E01000376,1607
1314,E01000377,1539
1314,E01000378,2681
1314,E01000379,1742
1314,E01000380,1672
1314,E01000381,2105
1314,E01000382,1755
1314,E01000383,2062
1314,E01000384,1930
1314,E01000385,1836
1314,E01000386,1877
1314,E01000387,1869
1314,E01000388,1833
1314,E01000389,1681
1314,E01000390,1510
1314,E01000391,1671
1314,E01000392,1630
1314,E01000393,1731
1314,E01000394,1495
1314,E01000395,1132
1314,E01000396,1293
1314,E01000397,1981
1314,E01000398,1683
1314,E01000399,1396
1314,E01000400,1626
1314,E01000401,1854
1314,E01000402,1813
1314,E01000403,2576
1314,E01000404,2066
1314,E01000405,1307
1314,E01000406,1494
1314,E01000407,1633
1314,E01000408,1780
1314,E01000409,1557
1314,E01000410,1385
1314,E01000411,1654
1314,E01000412,1605
1314,E01000413,1453
1314,E01000414,1723
1314,E01000415,1509
1314,E01000416,1593
1314,E01000417,1926
1314,E01000418,1933
1314,E01000419,1898
1314,E01000420,1683
1314,E01000421,1961
1314,E01000422,1519
1314,E01000423,1591
1314,E01000424,1775
1314,E01000425,1720
1314,E01000426,1676
1314,E01000427,2218
1314,E01000428,2400
1314,E01000429,1516
1314,E01000430,1737
1314,E01000431,1508
1314,E01000432,2210
1314,E01000433,1891
1314,E01000434,1910
1314,E01000435,1328
1314,E01000436,1788
1314,E01000437,1449
1314,E01000438,1964
1314,E01000439,1553
1314,E01000440,1540
1314,E01000441,2109
1314,E01000442,2070
1314,E01000443,1666
1314,E01000444,1702
1314,E01000445,2013
1314,E01000446,1463
1314,E01000447,1673
1314,E01000448,1453
1314,E01000449,1850
1314,E01000450,1973
1314,E01000451,1594
1314,E01000452,1380
1314,E01000453,1455
1314,E01000454,1717
1314,E01000455,1707
1314,E01000456,1357
1314,E01000457,2084
1314,E01000458,1561
1314,E01000459,2162
1314,E01000460,1245
1314,E01000461,1596
1314,E01000462,1938
1314,E01000463,1313
1314,E01000464,1530
1314,E01000465,1679
1314,E01000466,1378
1314,E01000467,1372
1314,E01000468,2350
1314,E01000469,1674
1314,E01000470,1346
1314,E01000471,1818
1314,E01000472,1641
1314,E01000473,2632
1314,E01000474,1917
1314,E01000475,1942
1314,E01000476,1903
1314,E01000477,1602
1314,E01000478,1811
1314,E01000479,2204
1314,E01000480,2076
1314,E01000481,1966
1314,E01000482,3826
1314,E01000483,2335
1314,E01000484,1841
1314,E01000485,1721
1314,E01000486,1817
1314,E01000487,2152
1314,E01000488,1664
1314,E01000489,2190
1314,E01000490,2204
1314,E01000491,2925
1314,E01000492,3463
1314,E01000493,2177
1314,E01000494,2252
1314,E01000495,2897
1314,E01000496,1851
1314,E01000497,2248
1314,E01000498,1588
1314,E01000499,2049
1314,E01000500,1814
1314,E01000501,2798
1314,E01000502,1727
1314,E01000503,2625
1314,E01000504,2277
1314,E01000505,1897
1314,E01000506,1727
1314,E01000507,2238
1314,E01000508,2638
1314,E01000509,1841
1314,E01000510,2148
1314,E01000511,1808
1314,E01000512,1866
1314,E01000513,2048
1314,E01000514,1625
1314,E01000515,1988
1314,E01000516,2097
1314,E01000517,1742
1314,E01000518,1888
1314,E01000519,2349
1314,E01000520,1723
1314,E01000521,3972
1314,E01000522,2150
1314,E01000523,2955
1314,E01000524,3023
1314,E01000525,2230
1314,E01000526,2941
1314,E01000527,2586
1314,E01000528,2076
1314,E01000529,3855
1314,E01000530,2414
1314,E01000531,2975
1314,E01000532,2182
1314,E01000533,2797
1314,E01000534,2536
1314,E01000535,2844
1314,E01000536,1758
1314,E01000537,1450
1314,E01000538,1651
1314,E01000539,1622
1314,E01000540,1797
1314,E01000541,1466
1314,E01000542,1652
1314,E01000543,1713
1314,E01000544,2482
1314,E01000545,2842
1314,E01000546,2554
1314,E01000547,3020
1314,E01000548,2946
1314,E01000549,2717
1314,E01000550,3207
1314,E01000551,4294
1314,E01000552,3019
1314,E01000553,3034
1314,E01000554,2484
1314,E01000555,1955
1314,E01000556,2288
1314,E01000557,2356
1314,E01000558,2205
1314,E01000559,2625
1314,E01000560,1824
1314,E01000561,2530
1314,E01000562,1898
1314,E01000563,1930
1314,E01000564,1483
1314,E01000565,2197
1314,E01000566,1800
1314,E01000567,1868
1314,E01000568,1625
1314,E01000569,1677
1314,E01000570,1979
1314,E01000571,2523
1314,E01000572,1402
1314,E01000573,1659
1314,E01000574,1406
1314,E01000575,1873
1314,E01000576,1789
1314,E01000577,2476
1314,E01000578,3080
1314,E01000579,2470
1314,E01000580,3068
1314,E01000581,1897
1314,E01000582,2817
1314,E01000583,3393
1314,E01000584,2505
1314,E01000585,2395
1314,E01000586,3080
1314,E01000587,2143
1314,E01000588,2669
1314,E01000589,2355
1314,E01000590,2150
1314,E01000591,2473
1314,E01000592,2035
1314,E01000593,2589
1314,E01000594,1712
1314,E01000595,2217
1314,E01000596,2165
1314,E01000597,1912
1314,E01000598,1218
1314,E01000599,1920
1314,E01000600,2644
1314,E01000601,1993
1314,E01000602,2018
1314,E01000603,1920
1314,E01000604,2000
1314,E01000605,1671
1314,E01000606,1838
1314,E01000607,2198
1314,E01000608,2462
1314,E01000609,2363
1314,E01000610,2270
1314,E01000611,1427
1314,E01000612,2165
1314,E01000613,1857
1314,E01000614,3782
1314,E01000615,1705
1314,E01000616,1900
1314,E01000617,2111
1314,E01000618,2153
1314,E01000619,1926
1314,E01000620,1849
1314,E01000621,2180
1314,E01000622,1757
1314,E01000623,1737
1314,E01000624,2211
1314,E01000625,1686
1314,E01000626,1874
1314,E01000627,2434
1314,E01000628,2478
1314,E01000629,2110
1314,E01000630,2475
1314,E01000631,1744
1314,E01000632,2611
1314,E01000633,2177
1314,E01000634,2443
1314,E01000635,2677
1314,E01000636,1928
1314,E01000637,1780
1314,E01000638,2024
1314,E01000639,1699
1314,E01000640,2343
1314,E01000641,2182
1314,E01000642,3463
1314,E01000643,4791
1314,E01000644,2472
1314,E01000645,1392
1314,E01000646,1796
1314,E01000647,1439
1314,E01000648,1460
1314,E01000649,1856
1314,E01000650,1833
1314,E01000651,1804
1314,E01000652,1801
1314,E01000653,1650
1314,E01000654,1276
1314,E01000655,1195
1314,E01000656,1428
1314,E01000657,1736
1314,E01000658,1858
1314,E01000659,1331
1314,E01000660,1995
1314,E01000661,1995
1314,E01000662,1885
1314,E01000663,1909
1314,E01000664,1723
1314,E01000665,2016
1314,E01000666,2069
1314,E01000667,1663
1314,E01000668,1839
1314,E01000669,1533
1314,E01000670,1599
1314,E01000671,2071
1314,E01000672,1478
1314,E01000673,1463
1314,E01000674,1607
1314,E01000675,1768
1314,E01000676,1561
1314,E01000677,1525
1314,E01000678,1425
1314,E01000679,1865
1314,E01000680,1930
1314,E01000681,1795
1314,E01000682,1647
1314,E01000683,1586
