fiscal_year,SOAL,_FREQ_
1011,E01000318,599
1011,E01000319,318
1011,E01000320,434
1011,E01000321,612
1011,E01000322,542
1011,E01000323,550
1011,E01000324,483
1011,E01000325,421
1011,E01000326,319
1011,E01000327,387
1011,E01000328,331
1011,E01000329,423
1011,E01000330,498
1011,E01000331,556
1011,E01000332,508
1011,E01000333,500
1011,E01000334,592
1011,E01000335,461
1011,E01000336,552
1011,E01000337,401
1011,E01000338,425
1011,E01000339,737
1011,E01000340,457
1011,E01000341,513
1011,E01000342,473
1011,E01000343,331
1011,E01000344,521
1011,E01000345,292
1011,E01000346,397
1011,E01000347,398
1011,E01000348,290
1011,E01000349,471
1011,E01000350,303
1011,E01000351,422
1011,E01000352,438
1011,E01000353,488
1011,E01000354,664
1011,E01000355,636
1011,E01000356,602
1011,E01000357,341
1011,E01000358,462
1011,E01000359,324
1011,E01000360,457
1011,E01000361,366
1011,E01000362,461
1011,E01000363,387
1011,E01000364,491
1011,E01000365,475
1011,E01000366,408
1011,E01000367,464
1011,E01000368,500
1011,E01000369,466
1011,E01000370,317
1011,E01000371,387
1011,E01000372,824
1011,E01000373,280
1011,E01000374,432
1011,E01000375,666
1011,E01000376,386
1011,E01000377,346
1011,E01000378,596
1011,E01000379,368
1011,E01000380,411
1011,E01000381,561
1011,E01000382,420
1011,E01000383,552
1011,E01000384,496
1011,E01000385,545
1011,E01000386,504
1011,E01000387,612
1011,E01000388,664
1011,E01000389,444
1011,E01000390,453
1011,E01000391,453
1011,E01000392,451
1011,E01000393,392
1011,E01000394,397
1011,E01000395,317
1011,E01000396,344
1011,E01000397,581
1011,E01000398,399
1011,E01000399,332
1011,E01000400,394
1011,E01000401,393
1011,E01000402,517
1011,E01000403,740
1011,E01000404,468
1011,E01000405,327
1011,E01000406,545
1011,E01000407,595
1011,E01000408,393
1011,E01000409,380
1011,E01000410,431
1011,E01000411,372
1011,E01000412,494
1011,E01000413,332
1011,E01000414,560
1011,E01000415,390
1011,E01000416,434
1011,E01000417,496
1011,E01000418,581
1011,E01000419,469
1011,E01000420,558
1011,E01000421,489
1011,E01000422,374
1011,E01000423,396
1011,E01000424,466
1011,E01000425,670
1011,E01000426,383
1011,E01000427,720
1011,E01000428,700
1011,E01000429,395
1011,E01000430,481
1011,E01000431,720
1011,E01000432,473
1011,E01000433,494
1011,E01000434,506
1011,E01000435,476
1011,E01000436,402
1011,E01000437,358
1011,E01000438,347
1011,E01000439,382
1011,E01000440,363
1011,E01000441,461
1011,E01000442,445
1011,E01000443,629
1011,E01000444,415
1011,E01000445,602
1011,E01000446,381
1011,E01000447,493
1011,E01000448,242
1011,E01000449,426
1011,E01000450,471
1011,E01000451,422
1011,E01000452,289
1011,E01000453,326
1011,E01000454,574
1011,E01000455,416
1011,E01000456,366
1011,E01000457,584
1011,E01000458,471
1011,E01000459,494
1011,E01000460,179
1011,E01000461,403
1011,E01000462,552
1011,E01000463,316
1011,E01000464,359
1011,E01000465,399
1011,E01000466,315
1011,E01000467,386
1011,E01000468,597
1011,E01000469,365
1011,E01000470,390
1011,E01000471,368
1011,E01000472,282
1011,E01000473,377
1011,E01000474,443
1011,E01000475,466
1011,E01000476,393
1011,E01000477,421
1011,E01000478,383
1011,E01000479,416
1011,E01000480,396
1011,E01000481,457
1011,E01000482,739
1011,E01000483,464
1011,E01000484,285
1011,E01000485,637
1011,E01000486,511
1011,E01000487,443
1011,E01000488,348
1011,E01000489,424
1011,E01000490,379
1011,E01000491,472
1011,E01000492,314
1011,E01000493,372
1011,E01000494,483
1011,E01000495,475
1011,E01000496,361
1011,E01000497,428
1011,E01000498,372
1011,E01000499,420
1011,E01000500,362
1011,E01000501,428
1011,E01000502,292
1011,E01000503,488
1011,E01000504,470
1011,E01000505,380
1011,E01000506,326
1011,E01000507,413
1011,E01000508,516
1011,E01000509,391
1011,E01000510,413
1011,E01000511,372
1011,E01000512,357
1011,E01000513,405
1011,E01000514,322
1011,E01000515,385
1011,E01000516,404
1011,E01000517,449
1011,E01000518,383
1011,E01000519,469
1011,E01000520,385
1011,E01000521,627
1011,E01000522,434
1011,E01000523,608
1011,E01000524,549
1011,E01000525,430
1011,E01000526,712
1011,E01000527,520
1011,E01000528,386
1011,E01000529,724
1011,E01000530,431
1011,E01000531,520
1011,E01000532,401
1011,E01000533,622
1011,E01000534,470
1011,E01000535,462
1011,E01000536,308
1011,E01000537,255
1011,E01000538,373
1011,E01000539,443
1011,E01000540,308
1011,E01000541,283
1011,E01000542,377
1011,E01000543,450
1011,E01000544,391
1011,E01000545,413
1011,E01000546,440
1011,E01000547,463
1011,E01000548,471
1011,E01000549,388
1011,E01000550,625
1011,E01000551,599
1011,E01000552,509
1011,E01000553,513
1011,E01000554,419
1011,E01000555,300
1011,E01000556,387
1011,E01000557,387
1011,E01000558,371
1011,E01000559,322
1011,E01000560,473
1011,E01000561,426
1011,E01000562,339
1011,E01000563,366
1011,E01000564,585
1011,E01000565,310
1011,E01000566,344
1011,E01000567,293
1011,E01000568,287
1011,E01000569,377
1011,E01000570,355
1011,E01000571,472
1011,E01000572,248
1011,E01000573,367
1011,E01000574,388
1011,E01000575,411
1011,E01000576,369
1011,E01000577,546
1011,E01000578,551
1011,E01000579,491
1011,E01000580,511
1011,E01000581,312
1011,E01000582,382
1011,E01000583,448
1011,E01000584,380
1011,E01000585,452
1011,E01000586,518
1011,E01000587,383
1011,E01000588,551
1011,E01000589,444
1011,E01000590,459
1011,E01000591,510
1011,E01000592,434
1011,E01000593,549
1011,E01000594,356
1011,E01000595,482
1011,E01000596,384
1011,E01000597,411
1011,E01000598,235
1011,E01000599,335
1011,E01000600,462
1011,E01000601,433
1011,E01000602,430
1011,E01000603,364
1011,E01000604,457
1011,E01000605,390
1011,E01000606,454
1011,E01000607,437
1011,E01000608,582
1011,E01000609,740
1011,E01000610,536
1011,E01000611,338
1011,E01000612,427
1011,E01000613,316
1011,E01000614,595
1011,E01000615,367
1011,E01000616,446
1011,E01000617,446
1011,E01000618,600
1011,E01000619,439
1011,E01000620,402
1011,E01000621,454
1011,E01000622,407
1011,E01000623,411
1011,E01000624,459
1011,E01000625,414
1011,E01000626,504
1011,E01000627,518
1011,E01000628,486
1011,E01000629,439
1011,E01000630,486
1011,E01000631,407
1011,E01000632,693
1011,E01000633,469
1011,E01000634,502
1011,E01000635,460
1011,E01000636,441
1011,E01000637,357
1011,E01000638,430
1011,E01000639,293
1011,E01000640,460
1011,E01000641,455
1011,E01000642,539
1011,E01000643,603
1011,E01000644,419
1011,E01000645,266
1011,E01000646,484
1011,E01000647,384
1011,E01000648,361
1011,E01000649,502
1011,E01000650,588
1011,E01000651,478
1011,E01000652,631
1011,E01000653,479
1011,E01000654,334
1011,E01000655,369
1011,E01000656,350
1011,E01000657,445
1011,E01000658,417
1011,E01000659,382
1011,E01000660,543
1011,E01000661,538
1011,E01000662,633
1011,E01000663,483
1011,E01000664,481
1011,E01000665,534
1011,E01000666,502
1011,E01000667,412
1011,E01000668,406
1011,E01000669,452
1011,E01000670,451
1011,E01000671,512
1011,E01000672,472
1011,E01000673,398
1011,E01000674,400
1011,E01000675,520
1011,E01000676,501
1011,E01000677,392
1011,E01000678,455
1011,E01000679,410
1011,E01000680,420
1011,E01000681,450
1011,E01000682,418
1011,E01000683,464
1011,E01000684,490
1011,E01000685,461
1011,E01000686,377
1011,E01000687,457
1011,E01000688,331
1011,E01000689,469
1011,E01000690,428
1011,E01000691,359
1011,E01000692,425
1011,E01000693,536
1011,E01000694,521
1011,E01000695,383
