fiscal_year,SOAL,_FREQ_
1112,E01000317,477
1112,E01000318,511
1112,E01000319,379
1112,E01000320,421
1112,E01000321,532
1112,E01000322,519
1112,E01000323,765
1112,E01000324,565
1112,E01000325,366
1112,E01000326,395
1112,E01000327,358
1112,E01000328,385
1112,E01000329,354
1112,E01000330,555
1112,E01000331,587
1112,E01000332,461
1112,E01000333,651
1112,E01000334,483
1112,E01000335,725
1112,E01000336,774
1112,E01000337,583
1112,E01000338,571
1112,E01000339,435
1112,E01000340,458
1112,E01000341,410
1112,E01000342,393
1112,E01000343,368
1112,E01000344,379
1112,E01000345,283
1112,E01000346,402
1112,E01000347,396
1112,E01000348,309
1112,E01000349,398
1112,E01000350,321
1112,E01000351,318
1112,E01000352,511
1112,E01000353,400
1112,E01000354,521
1112,E01000355,370
1112,E01000356,413
1112,E01000357,376
1112,E01000358,434
1112,E01000359,335
1112,E01000360,532
1112,E01000361,412
1112,E01000362,390
1112,E01000363,372
1112,E01000364,438
1112,E01000365,623
1112,E01000366,489
1112,E01000367,702
1112,E01000368,569
1112,E01000369,436
1112,E01000370,455
1112,E01000371,358
1112,E01000372,657
1112,E01000373,628
1112,E01000374,730
1112,E01000375,497
1112,E01000376,500
1112,E01000377,389
1112,E01000378,649
1112,E01000379,560
1112,E01000380,537
1112,E01000381,479
1112,E01000382,273
1112,E01000383,429
1112,E01000384,434
1112,E01000385,568
1112,E01000386,545
1112,E01000387,394
1112,E01000388,445
1112,E01000389,451
1112,E01000390,325
1112,E01000391,461
1112,E01000392,678
1112,E01000393,491
1112,E01000394,376
1112,E01000395,441
1112,E01000396,360
1112,E01000397,673
1112,E01000398,673
1112,E01000399,483
1112,E01000400,505
1112,E01000401,748
1112,E01000402,523
1112,E01000403,810
1112,E01000404,953
1112,E01000405,509
1112,E01000406,580
1112,E01000407,469
1112,E01000408,634
1112,E01000409,380
1112,E01000410,376
1112,E01000411,403
1112,E01000412,545
1112,E01000413,401
1112,E01000414,623
1112,E01000415,393
1112,E01000416,558
1112,E01000417,591
1112,E01000418,672
1112,E01000419,409
1112,E01000420,452
1112,E01000421,459
1112,E01000422,581
1112,E01000423,300
1112,E01000424,382
1112,E01000425,590
1112,E01000426,411
1112,E01000427,438
1112,E01000428,802
1112,E01000429,744
1112,E01000430,616
1112,E01000431,671
1112,E01000432,549
1112,E01000433,747
1112,E01000434,714
1112,E01000435,517
1112,E01000436,426
1112,E01000437,349
