fiscal_year,SOAL,_FREQ_
1213,,21909609
1213,E01000001,302
1213,E01000002,296
1213,E01000003,574
1213,E01000004,609
1213,E01000005,490
1213,E01000006,860
1213,E01000007,767
1213,E01000008,756
1213,E01000009,1059
1213,E01000010,1523
1213,E01000011,828
1213,E01000012,958
1213,E01000013,886
1213,E01000014,810
1213,E01000015,1115
1213,E01000016,881
1213,E01000017,945
1213,E01000018,791
1213,E01000019,651
1213,E01000020,923
1213,E01000021,891
1213,E01000022,686
1213,E01000023,968
1213,E01000024,675
1213,E01000025,932
1213,E01000026,709
1213,E01000027,863
1213,E01000028,839
1213,E01000029,668
1213,E01000030,853
1213,E01000031,724
1213,E01000032,705
1213,E01000033,740
1213,E01000034,819
1213,E01000035,828
1213,E01000036,462
1213,E01000037,684
1213,E01000038,748
1213,E01000039,675
1213,E01000040,1079
1213,E01000041,990
1213,E01000042,1462
1213,E01000043,784
1213,E01000044,1018
1213,E01000045,1073
1213,E01000046,954
1213,E01000047,1791
1213,E01000048,836
1213,E01000049,949
1213,E01000050,905
1213,E01000051,807
1213,E01000052,1103
1213,E01000053,743
1213,E01000054,844
1213,E01000055,789
1213,E01000056,876
1213,E01000057,744
1213,E01000058,851
1213,E01000059,754
1213,E01000060,918
1213,E01000061,1052
1213,E01000062,941
1213,E01000063,836
1213,E01000064,1155
1213,E01000065,1082
1213,E01000066,1208
1213,E01000067,1249
1213,E01000068,909
1213,E01000069,992
1213,E01000070,1054
1213,E01000071,1466
1213,E01000072,1267
1213,E01000073,953
1213,E01000074,901
1213,E01000075,930
1213,E01000076,1181
1213,E01000077,814
1213,E01000078,935
1213,E01000079,856
1213,E01000080,794
1213,E01000081,805
1213,E01000082,801
1213,E01000083,802
1213,E01000084,722
1213,E01000085,662
1213,E01000086,865
1213,E01000087,656
1213,E01000088,796
1213,E01000089,693
1213,E01000090,684
1213,E01000091,844
1213,E01000092,1429
1213,E01000093,924
1213,E01000094,670
1213,E01000095,877
1213,E01000096,939
1213,E01000097,938
1213,E01000098,900
1213,E01000099,1156
1213,E01000100,767
1213,E01000101,970
1213,E01000102,930
1213,E01000103,810
1213,E01000104,756
1213,E01000105,1182
1213,E01000106,915
1213,E01000107,721
1213,E01000108,710
1213,E01000109,763
1213,E01000110,587
1213,E01000111,991
1213,E01000112,741
1213,E01000113,768
1213,E01000114,1003
1213,E01000115,405
1213,E01000116,524
1213,E01000117,588
1213,E01000118,660
1213,E01000119,498
1213,E01000120,494
1213,E01000121,744
1213,E01000122,478
1213,E01000123,584
1213,E01000124,649
1213,E01000125,1167
1213,E01000126,962
1213,E01000127,584
1213,E01000128,643
1213,E01000129,828
1213,E01000130,535
1213,E01000131,666
1213,E01000132,498
1213,E01000133,591
1213,E01000134,660
1213,E01000135,541
1213,E01000136,423
1213,E01000137,781
1213,E01000138,589
1213,E01000139,390
1213,E01000140,615
1213,E01000141,799
1213,E01000142,918
1213,E01000143,515
1213,E01000144,482
1213,E01000145,531
1213,E01000146,628
1213,E01000147,620
1213,E01000148,816
1213,E01000149,1252
1213,E01000150,648
1213,E01000151,641
1213,E01000152,656
1213,E01000153,756
1213,E01000154,416
1213,E01000155,742
1213,E01000156,617
1213,E01000157,522
1213,E01000158,484
1213,E01000159,528
1213,E01000160,509
1213,E01000161,575
1213,E01000162,700
1213,E01000163,592
1213,E01000164,657
1213,E01000165,507
1213,E01000166,567
1213,E01000167,553
1213,E01000168,470
1213,E01000169,480
1213,E01000170,567
1213,E01000171,714
1213,E01000172,539
1213,E01000173,481
1213,E01000174,674
1213,E01000175,523
1213,E01000176,627
1213,E01000177,419
1213,E01000178,531
1213,E01000179,404
1213,E01000180,616
1213,E01000181,469
1213,E01000182,558
1213,E01000183,428
1213,E01000184,589
1213,E01000185,557
1213,E01000186,356
1213,E01000187,634
1213,E01000188,378
1213,E01000189,718
1213,E01000190,543
1213,E01000191,391
1213,E01000192,543
1213,E01000193,579
1213,E01000194,534
1213,E01000195,721
1213,E01000196,581
1213,E01000197,412
1213,E01000198,515
1213,E01000199,344
1213,E01000200,464
1213,E01000201,351
1213,E01000202,457
1213,E01000203,523
1213,E01000204,405
1213,E01000205,401
1213,E01000206,318
1213,E01000207,337
1213,E01000208,378
1213,E01000209,456
1213,E01000210,425
1213,E01000211,701
1213,E01000212,318
1213,E01000213,224
1213,E01000214,470
1213,E01000215,587
1213,E01000216,559
1213,E01000217,428
1213,E01000218,435
1213,E01000219,590
1213,E01000220,851
1213,E01000221,615
1213,E01000222,626
1213,E01000223,599
1213,E01000224,577
1213,E01000225,552
1213,E01000226,644
1213,E01000227,555
1213,E01000228,439
1213,E01000229,724
1213,E01000230,546
1213,E01000231,557
1213,E01000232,569
1213,E01000233,422
1213,E01000234,536
1213,E01000235,683
1213,E01000236,499
1213,E01000237,626
1213,E01000238,593
1213,E01000239,693
1213,E01000240,564
1213,E01000241,484
1213,E01000242,568
1213,E01000243,684
1213,E01000244,579
1213,E01000245,785
1213,E01000246,456
1213,E01000247,476
1213,E01000248,506
1213,E01000249,458
1213,E01000250,799
1213,E01000251,774
1213,E01000252,503
1213,E01000253,566
1213,E01000254,477
1213,E01000255,637
1213,E01000256,456
1213,E01000257,638
1213,E01000258,505
1213,E01000259,791
1213,E01000260,670
1213,E01000261,439
1213,E01000262,585
1213,E01000263,343
1213,E01000264,544
1213,E01000265,788
1213,E01000266,406
1213,E01000267,462
1213,E01000268,645
1213,E01000269,499
1213,E01000270,459
1213,E01000271,559
1213,E01000272,375
1213,E01000273,545
1213,E01000274,633
1213,E01000275,579
1213,E01000276,335
1213,E01000277,567
1213,E01000278,340
1213,E01000279,295
1213,E01000280,314
1213,E01000281,526
1213,E01000282,488
1213,E01000283,385
1213,E01000284,617
1213,E01000285,631
1213,E01000286,861
1213,E01000287,776
1213,E01000288,511
1213,E01000289,794
1213,E01000290,697
1213,E01000291,796
1213,E01000292,551
1213,E01000293,498
1213,E01000294,715
1213,E01000295,410
1213,E01000296,512
1213,E01000297,386
1213,E01000298,562
1213,E01000299,660
1213,E01000300,435
1213,E01000301,400
1213,E01000302,518
1213,E01000303,423
1213,E01000304,415
1213,E01000305,706
1213,E01000306,530
1213,E01000307,576
1213,E01000308,713
1213,E01000309,537
1213,E01000310,823
1213,E01000311,362
1213,E01000312,687
1213,E01000313,667
1213,E01000314,659
1213,E01000315,606
1213,E01000316,571
1213,E01000317,487
1213,E01000318,516
1213,E01000319,371
1213,E01000320,421
1213,E01000321,521
1213,E01000322,559
1213,E01000323,747
1213,E01000324,635
1213,E01000325,364
1213,E01000326,379
1213,E01000327,414
1213,E01000328,362
1213,E01000329,364
1213,E01000330,490
1213,E01000331,618
1213,E01000332,473
1213,E01000333,611
1213,E01000334,536
1213,E01000335,841
1213,E01000336,800
1213,E01000337,591
1213,E01000338,565
1213,E01000339,479
1213,E01000340,382
1213,E01000341,379
1213,E01000342,383
1213,E01000343,405
1213,E01000344,416
1213,E01000345,283
1213,E01000346,395
1213,E01000347,471
1213,E01000348,312
1213,E01000349,384
1213,E01000350,318
1213,E01000351,320
1213,E01000352,497
1213,E01000353,430
1213,E01000354,547
1213,E01000355,372
1213,E01000356,447
1213,E01000357,370
1213,E01000358,424
1213,E01000359,307
1213,E01000360,475
1213,E01000361,433
1213,E01000362,393
1213,E01000363,416
1213,E01000364,477
1213,E01000365,622
1213,E01000366,363
1213,E01000367,618
1213,E01000368,556
1213,E01000369,479
1213,E01000370,407
1213,E01000371,427
1213,E01000372,644
1213,E01000373,456
1213,E01000374,697
1213,E01000375,552
1213,E01000376,455
1213,E01000377,431
1213,E01000378,793
1213,E01000379,533
1213,E01000380,647
1213,E01000381,484
1213,E01000382,368
1213,E01000383,571
1213,E01000384,474
1213,E01000385,702
1213,E01000386,624
1213,E01000387,461
1213,E01000388,542
1213,E01000389,472
1213,E01000390,387
1213,E01000391,531
1213,E01000392,732
1213,E01000393,492
1213,E01000394,386
1213,E01000395,492
1213,E01000396,384
1213,E01000397,766
1213,E01000398,613
1213,E01000399,495
1213,E01000400,556
1213,E01000401,877
1213,E01000402,573
1213,E01000403,885
1213,E01000404,969
1213,E01000405,549
1213,E01000406,623
1213,E01000407,506
1213,E01000408,630
1213,E01000409,418
1213,E01000410,477
1213,E01000411,440
1213,E01000412,512
1213,E01000413,379
1213,E01000414,679
1213,E01000415,416
1213,E01000416,592
1213,E01000417,605
1213,E01000418,717
1213,E01000419,439
1213,E01000420,498
1213,E01000421,481
1213,E01000422,650
1213,E01000423,314
1213,E01000424,419
1213,E01000425,562
1213,E01000426,427
1213,E01000427,470
1213,E01000428,887
1213,E01000429,739
1213,E01000430,609
1213,E01000431,711
1213,E01000432,654
1213,E01000433,786
1213,E01000434,714
1213,E01000435,490
1213,E01000436,434
1213,E01000437,375
1213,E01000438,483
1213,E01000439,508
1213,E01000440,338
1213,E01000441,604
1213,E01000442,486
1213,E01000443,423
1213,E01000444,359
1213,E01000445,463
1213,E01000446,338
1213,E01000447,410
1213,E01000448,267
1213,E01000449,375
1213,E01000450,619
1213,E01000451,574
1213,E01000452,423
1213,E01000453,469
1213,E01000454,569
1213,E01000455,469
1213,E01000456,409
1213,E01000457,569
1213,E01000458,289
1213,E01000459,478
1213,E01000460,229
1213,E01000461,311
1213,E01000462,604
1213,E01000463,286
1213,E01000464,536
1213,E01000465,602
1213,E01000466,541
1213,E01000467,634
1213,E01000468,1202
1213,E01000469,645
1213,E01000470,581
1213,E01000471,838
1213,E01000472,631
1213,E01000473,1045
1213,E01000474,703
1213,E01000475,853
1213,E01000476,775
1213,E01000477,915
1213,E01000478,731
1213,E01000479,740
1213,E01000480,618
1213,E01000481,767
1213,E01000482,1573
1213,E01000483,904
1213,E01000484,679
1213,E01000485,769
1213,E01000486,718
1213,E01000487,842
1213,E01000488,726
1213,E01000489,805
1213,E01000490,739
1213,E01000491,932
1213,E01000492,757
1213,E01000493,879
1213,E01000494,809
1213,E01000495,842
1213,E01000496,731
1213,E01000497,777
1213,E01000498,699
1213,E01000499,807
1213,E01000500,653
1213,E01000501,1017
1213,E01000502,593
1213,E01000503,951
1213,E01000504,666
1213,E01000505,676
1213,E01000506,888
1213,E01000507,813
1213,E01000508,1286
1213,E01000509,757
1213,E01000510,1026
1213,E01000511,902
1213,E01000512,733
1213,E01000513,664
1213,E01000514,532
1213,E01000515,795
1213,E01000516,600
1213,E01000517,487
1213,E01000518,687
1213,E01000519,737
1213,E01000520,562
1213,E01000521,1745
1213,E01000522,1138
1213,E01000523,1847
1213,E01000524,1804
1213,E01000525,1349
1213,E01000526,1463
1213,E01000527,1405
1213,E01000528,957
1213,E01000529,2180
1213,E01000530,963
1213,E01000531,1296
1213,E01000532,1025
1213,E01000533,1565
