fiscal_year,SOAL,_FREQ_
1011,,423123
1011,E01000001,3099
1011,E01000002,2837
1011,E01000003,3678
1011,E01000004,3129
1011,E01000005,2617
1011,E01000006,2710
1011,E01000007,2515
1011,E01000008,2758
1011,E01000009,3563
1011,E01000010,4572
1011,E01000011,3279
1011,E01000012,3356
1011,E01000013,3652
1011,E01000014,3595
1011,E01000015,4492
1011,E01000016,3641
1011,E01000017,3831
1011,E01000018,3433
1011,E01000019,2786
1011,E01000020,3414
1011,E01000021,2941
1011,E01000022,2715
1011,E01000023,1979
1011,E01000024,2776
1011,E01000025,3241
1011,E01000026,2781
1011,E01000027,3067
1011,E01000028,3236
1011,E01000029,3346
1011,E01000030,3647
1011,E01000031,3442
1011,E01000032,3258
1011,E01000033,2771
1011,E01000034,3261
1011,E01000035,2976
1011,E01000036,2671
1011,E01000037,2630
1011,E01000038,2828
1011,E01000039,2772
1011,E01000040,3514
1011,E01000041,3272
1011,E01000042,3584
1011,E01000043,3093
1011,E01000044,3504
1011,E01000045,3441
1011,E01000046,3685
1011,E01000047,5645
1011,E01000048,3112
1011,E01000049,3388
1011,E01000050,3333
1011,E01000051,3375
1011,E01000052,3803
1011,E01000053,3128
1011,E01000054,3616
1011,E01000055,3245
1011,E01000056,3580
1011,E01000057,3166
1011,E01000058,3632
1011,E01000059,3361
1011,E01000060,3852
1011,E01000061,3145
1011,E01000062,3725
1011,E01000063,3069
1011,E01000064,4064
1011,E01000065,3940
1011,E01000066,3830
1011,E01000067,3888
1011,E01000068,3566
1011,E01000069,3349
1011,E01000070,3716
1011,E01000071,4419
1011,E01000072,3930
1011,E01000073,3204
1011,E01000074,3442
1011,E01000075,3837
1011,E01000076,3798
1011,E01000077,3496
1011,E01000078,3703
1011,E01000079,3438
1011,E01000080,3003
1011,E01000081,3721
1011,E01000082,3225
1011,E01000083,3213
1011,E01000084,2801
1011,E01000085,2849
1011,E01000086,3137
1011,E01000087,2506
1011,E01000088,3087
1011,E01000089,2917
1011,E01000090,2595
1011,E01000091,3689
1011,E01000092,4936
1011,E01000093,3150
1011,E01000094,2140
1011,E01000095,2908
1011,E01000096,3503
1011,E01000097,3085
1011,E01000098,3815
1011,E01000099,3528
1011,E01000100,3137
1011,E01000101,3769
1011,E01000102,3846
1011,E01000103,2984
1011,E01000104,3045
1011,E01000105,4650
1011,E01000106,4113
1011,E01000107,3177
1011,E01000108,2986
1011,E01000109,2805
1011,E01000110,2572
1011,E01000111,3523
1011,E01000112,3578
1011,E01000113,3441
1011,E01000114,4042
1011,E01000115,3412
1011,E01000116,3541
1011,E01000117,4434
1011,E01000118,4237
1011,E01000119,3544
1011,E01000120,3287
1011,E01000121,3386
1011,E01000122,3265
1011,E01000123,3776
1011,E01000124,3280
1011,E01000125,5153
1011,E01000126,4553
1011,E01000127,2837
1011,E01000128,3515
1011,E01000129,4028
1011,E01000130,3689
1011,E01000131,3580
1011,E01000132,2717
1011,E01000133,3740
1011,E01000134,3565
1011,E01000135,3272
1011,E01000136,2000
1011,E01000137,4524
1011,E01000138,3987
1011,E01000139,2350
1011,E01000140,3036
1011,E01000141,3573
1011,E01000142,4500
1011,E01000143,2721
1011,E01000144,2895
1011,E01000145,2928
1011,E01000146,2972
1011,E01000147,3142
1011,E01000148,3373
1011,E01000149,5066
1011,E01000150,4446
1011,E01000151,2968
1011,E01000152,3358
1011,E01000153,3719
1011,E01000154,3162
