fiscal_year,SOAL,_FREQ_
1213,,722929
1213,E01000001,379
1213,E01000002,241
1213,E01000003,425
1213,E01000004,370
1213,E01000005,278
1213,E01000006,423
1213,E01000007,247
1213,E01000008,296
1213,E01000009,465
1213,E01000010,485
1213,E01000011,339
1213,E01000012,363
1213,E01000013,517
1213,E01000014,479
1213,E01000015,591
1213,E01000016,534
1213,E01000017,564
1213,E01000018,453
1213,E01000019,333
1213,E01000020,526
1213,E01000021,368
1213,E01000022,341
1213,E01000023,470
1213,E01000024,399
1213,E01000025,380
1213,E01000026,376
1213,E01000027,506
1213,E01000028,508
1213,E01000029,586
1213,E01000030,492
1213,E01000031,398
1213,E01000032,491
1213,E01000033,329
1213,E01000034,532
1213,E01000035,496
1213,E01000036,293
1213,E01000037,394
1213,E01000038,460
1213,E01000039,401
1213,E01000040,497
1213,E01000041,408
1213,E01000042,427
1213,E01000043,428
1213,E01000044,410
1213,E01000045,387
1213,E01000046,405
1213,E01000047,729
1213,E01000048,402
1213,E01000049,472
1213,E01000050,501
1213,E01000051,412
1213,E01000052,436
1213,E01000053,426
1213,E01000054,440
1213,E01000055,428
1213,E01000056,440
1213,E01000057,322
1213,E01000058,469
1213,E01000059,421
1213,E01000060,473
1213,E01000061,414
1213,E01000062,574
1213,E01000063,467
1213,E01000064,690
1213,E01000065,597
1213,E01000066,571
1213,E01000067,498
1213,E01000068,438
1213,E01000069,565
1213,E01000070,466
1213,E01000071,599
1213,E01000072,537
1213,E01000073,483
1213,E01000074,438
1213,E01000075,438
1213,E01000076,542
1213,E01000077,426
1213,E01000078,427
1213,E01000079,480
1213,E01000080,415
1213,E01000081,457
1213,E01000082,402
1213,E01000083,529
1213,E01000084,390
1213,E01000085,357
1213,E01000086,478
1213,E01000087,320
1213,E01000088,429
1213,E01000089,439
1213,E01000090,349
1213,E01000091,445
1213,E01000092,811
1213,E01000093,402
1213,E01000094,289
1213,E01000095,440
1213,E01000096,446
1213,E01000097,640
1213,E01000098,523
1213,E01000099,513
1213,E01000100,434
1213,E01000101,508
1213,E01000102,505
1213,E01000103,497
1213,E01000104,389
1213,E01000105,618
1213,E01000106,541
1213,E01000107,440
1213,E01000108,414
1213,E01000109,555
1213,E01000110,383
1213,E01000111,511
1213,E01000112,389
1213,E01000113,462
1213,E01000114,560
1213,E01000115,298
1213,E01000116,452
1213,E01000117,637
1213,E01000118,569
1213,E01000119,586
1213,E01000120,406
1213,E01000121,648
1213,E01000122,345
1213,E01000123,623
1213,E01000124,506
1213,E01000125,1023
1213,E01000126,750
1213,E01000127,716
1213,E01000128,786
1213,E01000129,535
1213,E01000130,450
1213,E01000131,575
1213,E01000132,388
1213,E01000133,655
1213,E01000134,647
1213,E01000135,360
1213,E01000136,430
1213,E01000137,467
1213,E01000138,386
1213,E01000139,413
1213,E01000140,478
1213,E01000141,439
1213,E01000142,590
1213,E01000143,311
1213,E01000144,698
1213,E01000145,580
1213,E01000146,343
1213,E01000147,846
1213,E01000148,692
1213,E01000149,1099
1213,E01000150,712
1213,E01000151,618
1213,E01000152,476
1213,E01000153,569
1213,E01000154,349
1213,E01000155,617
1213,E01000156,442
1213,E01000157,315
1213,E01000158,330
1213,E01000159,470
1213,E01000160,515
1213,E01000161,786
1213,E01000162,682
1213,E01000163,417
1213,E01000164,550
1213,E01000165,342
1213,E01000166,577
1213,E01000167,502
1213,E01000168,534
1213,E01000169,547
1213,E01000170,452
1213,E01000171,472
1213,E01000172,567
1213,E01000173,431
1213,E01000174,526
1213,E01000175,432
1213,E01000176,507
1213,E01000177,425
1213,E01000178,461
1213,E01000179,327
1213,E01000180,604
1213,E01000181,329
1213,E01000182,399
1213,E01000183,385
1213,E01000184,527
1213,E01000185,355
1213,E01000186,507
1213,E01000187,693
1213,E01000188,617
1213,E01000189,533
1213,E01000190,521
1213,E01000191,426
1213,E01000192,513
1213,E01000193,447
1213,E01000194,434
1213,E01000195,882
1213,E01000196,497
1213,E01000197,394
1213,E01000198,472
1213,E01000199,363
1213,E01000200,435
1213,E01000201,478
1213,E01000202,367
1213,E01000203,408
1213,E01000204,373
1213,E01000205,788
1213,E01000206,390
1213,E01000207,275
1213,E01000208,246
1213,E01000209,395
1213,E01000210,490
1213,E01000211,686
1213,E01000212,433
1213,E01000213,311
1213,E01000214,323
1213,E01000215,710
1213,E01000216,394
1213,E01000217,437
1213,E01000218,310
1213,E01000219,512
1213,E01000220,809
1213,E01000221,445
1213,E01000222,461
1213,E01000223,380
1213,E01000224,441
1213,E01000225,610
1213,E01000226,804
1213,E01000227,707
1213,E01000228,349
1213,E01000229,539
1213,E01000230,647
1213,E01000231,583
1213,E01000232,872
1213,E01000233,455
1213,E01000234,840
1213,E01000235,959
1213,E01000236,559
1213,E01000237,425
1213,E01000238,391
1213,E01000239,641
1213,E01000240,402
1213,E01000241,384
1213,E01000242,454
1213,E01000243,658
1213,E01000244,402
1213,E01000245,855
1213,E01000246,326
1213,E01000247,372
1213,E01000248,356
1213,E01000249,455
1213,E01000250,730
1213,E01000251,854
1213,E01000252,584
1213,E01000253,470
1213,E01000254,458
1213,E01000255,445
1213,E01000256,689
1213,E01000257,646
1213,E01000258,677
1213,E01000259,776
1213,E01000260,550
1213,E01000261,495
1213,E01000262,623
1213,E01000263,282
1213,E01000264,578
1213,E01000265,598
1213,E01000266,529
1213,E01000267,570
1213,E01000268,428
